ML Catalog Number,Date,Latitude,Longitude,Recordist,Media notes,Age/Sex,Average Community Rating,Filename
543339,2020-02-26,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,543339.mp3
543338,2020-02-17,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,543338.mp3
543337,2020-02-16,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,543337.mp3
543336,2020-02-16,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,543336.mp3
543335,2020-02-26,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,543335.mp3
524251,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524251.mp3
524250,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524250.mp3
524249,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524249.mp3
524248,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524248.mp3
524247,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524247.mp3
524205,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524205.mp3
524204,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524204.mp3
524203,2019-01-30,45.5435,-122.5763,Thomas Magarian,Flock of birds bathing in puddles and hanging out in the general area.,unknown,0.0,524203.mp3
475166,2018-12-28,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,475166.mp3
475165,2018-12-28,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,475165.mp3
475164,2018-12-28,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,475164.mp3
475163,2018-12-28,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,475163.mp3
462767,2018-07-10,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,462767.mp3
462766,2018-07-10,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,462766.mp3
462765,2018-07-10,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,462765.mp3
160034,2013-03-19,48.35893,-123.7192,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160034.mp3
159999,2013-03-17,48.464413,-123.373425,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159999.mp3
159993,2013-03-02,48.662793,-123.452181,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159993.mp3
159926,2013-02-12,48.384758,-123.507113,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159926.mp3
159919,2013-02-09,48.810142,-123.426765,Ian Cruickshank,,unknown,0.0,159919.mp3
159918,2013-02-09,48.810142,-123.426765,Ian Cruickshank,,unknown,0.0,159918.mp3
159917,2013-02-09,48.810142,-123.426765,Ian Cruickshank,,unknown,0.0,159917.mp3
159876,2013-01-27,48.459362,-123.366748,Ian Cruickshank,"in flight

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159876.mp3
159869,2013-01-26,48.576806,-123.37179,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159869.mp3
159112,2012-08-02,48.902,-124.385,Ian Cruickshank,"juvenile

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,159112.mp3
156530,2011-03-28,48.4598,-123.3747,Ian Cruickshank,Northwestern Crows mobbing a roosting Barred Owl.,unknown,0.0,156530.mp3
156527,2011-07-09,48.4739,-123.3773,Ian Cruickshank,"Includes many rattles, for example at 1:35, and high yelps, such as at 0:01",unknown,0.0,156527.mp3
156526,2011-07-09,48.4739,-123.3773,Ian Cruickshank,,unknown,0.0,156526.mp3
973034,2024-12-03,42.4253,-76.49,Cherylanne Garrett,4 American crows on trees outside my apartment building. ,unknown,0.0,973034.mp3
964161,2025-01-23,38.5389,-121.5381,Frank Severson,"This recording was shortened to include the best examples of the American Crow calls. In Adobe Audition, I amplified the sounds. This crow called while perched on a light pole on a neighborhood street adjacent to a field and a water retention pond. He raised from a ~45 degree posture to a ~70 degree posture, as if the calls required this amount of effort. ",unknown,0.0,964161.mp3
